[0m[ INFO] [1435766960.881699556]: 37 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.205467 , 0.00627169 , 0.0521449 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.0190885 , -0.326685 , 0.00796182 , [0m
[0m[ INFO] [1435766960.915093937]: 38 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.206395 , 0.00968112 , 0.0418067 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.0218279 , -0.326513 , 0.0104285 , [0m
[0m[ INFO] [1435766960.948381458]: 39 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.207329 , 0.0100744 , 0.038451 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.0206229 , -0.326729 , 0.00395812 , [0m
[0m[ INFO] [1435766960.981642699]: 40 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.208082 , 0.0109849 , 0.0324825 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.0206809 , -0.326757 , 0.00354766 , [0m
[0m[ INFO] [1435766961.015126975]: 41 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.275683 , -0.446936 , 0.407149 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.0183141 , -0.326918 , 0.00410827 , [0m
[0m[ INFO] [1435766961.048374557]: 42 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.275683 , -0.446936 , 0.407149 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.0183141 , -0.326918 , 0.00410827 , [0m
[0m[ INFO] [1435766961.081723915]: 43 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.254296 , -0.201258 , 0.339957 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.0166487 , -0.326822 , 0.012538 , [0m
[0m[ INFO] [1435766961.115018426]: 44 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.245508 , -0.130741 , 0.285541 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.0137424 , -0.32688 , 0.014918 , [0m
[0m[ INFO] [1435766961.148331996]: 45 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.23854 , -0.0837723 , 0.235781 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.0110377 , -0.327081 , 0.0123052 , [0m
[0m[ INFO] [1435766961.181650508]: 46 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.233114 , -0.0547668 , 0.190623 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.00620342 , -0.327194 , 0.010718 , [0m
