[0m[ INFO] [1435766578.851111026]: 37 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.323772 , 0.257624 , 0.4179 ,  , elbowR: , 0.170826 , 0.8561 , -0.369744 , 0.31812 , elbowD: , 0.0943597 , -0.328877 , -0.24175 , [0m
[0m[ INFO] [1435766578.884482579]: 38 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.326631 , 0.259337 , 0.415159 ,  , elbowR: , 0.174528 , 0.8563 , -0.368947 , 0.316495 , elbowD: , 0.118927 , -0.332311 , -0.211491 , [0m
[0m[ INFO] [1435766578.917865364]: 39 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.320673 , 0.254394 , 0.40879 ,  , elbowR: , 0.168629 , 0.856859 , -0.371078 , 0.315687 , elbowD: , 0.0981443 , -0.328581 , -0.235402 , [0m
[0m[ INFO] [1435766578.951134167]: 40 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.320263 , 0.245132 , 0.407565 ,  , elbowR: , 0.167168 , 0.857194 , -0.371946 , 0.314531 , elbowD: , 0.0937795 , -0.327851 , -0.236764 , [0m
[0m[ INFO] [1435766578.984476674]: 41 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.320495 , 0.235123 , 0.406935 ,  , elbowR: , 0.169832 , 0.858064 , -0.370435 , 0.312507 , elbowD: , 0.11572 , -0.330865 , -0.209002 , [0m
[0m[ INFO] [1435766579.017789461]: 42 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.317278 , 0.230997 , 0.404031 ,  , elbowR: , 0.16919 , 0.85754 , -0.370011 , 0.314788 , elbowD: , 0.0954942 , -0.328864 , -0.234385 , [0m
[0m[ INFO] [1435766579.051146310]: 43 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.320141 , 0.347135 , 0.322987 ,  , elbowR: , 0.167171 , 0.85698 , -0.369904 , 0.317505 , elbowD: , 0.0931071 , -0.326521 , -0.236137 , [0m
[0m[ INFO] [1435766579.084406574]: 44 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.312271 , 0.213022 , 0.410554 ,  , elbowR: , 0.166307 , 0.856523 , -0.370851 , 0.318087 , elbowD: , 0.0968328 , -0.323659 , -0.232419 , [0m
[0m[ INFO] [1435766579.117779921]: 45 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.310571 , 0.205004 , 0.408161 ,  , elbowR: , 0.169717 , 0.86676 , -0.363167 , 0.296704 , elbowD: , 0.123137 , -0.331727 , -0.219013 , [0m
[0m[ INFO] [1435766579.151146360]: 46 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.310136 , 0.197867 , 0.420378 ,  , elbowR: , 0.170798 , 0.863775 , -0.362958 , 0.304931 , elbowD: , 0.10598 , -0.330093 , -0.239232 , [0m
[0m[ INFO] [1435766579.184427188]: 47 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.316638 , 0.193869 , 0.432542 ,  , elbowR: , 0.172162 , 0.86424 , -0.361853 , 0.304157 , elbowD: , 0.122313 , -0.330733 , -0.21885 , [0m
[0m[ INFO] [1435766579.217894511]: 48 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.322827 , 0.320338 , 0.350966 ,  , elbowR: , 0.1735 , 0.864208 , -0.362873 , 0.302267 , elbowD: , 0.124072 , -0.333049 , -0.218497 , [0m
[0m[ INFO] [1435766579.251202842]: 49 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.322878 , 0.319112 , 0.351832 ,  , elbowR: , 0.174924 , 0.863589 , -0.36333 , 0.302667 , elbowD: , 0.123903 , -0.332874 , -0.217213 , [0m
[0m[ INFO] [1435766579.284553906]: 50 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.328942 , 0.344227 , 0.345058 ,  , elbowR: , 0.177832 , 0.861875 , -0.364311 , 0.304671 , elbowD: , 0.123734 , -0.333478 , -0.214661 , [0m
[0m[ INFO] [1435766579.317817946]: 51 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.326001 , 0.246249 , 0.414141 ,  , elbowR: , 0.176357 , 0.859269 , -0.367803 , 0.308668 , elbowD: , 0.0977289 , -0.330144 , -0.240839 , [0m
[0m[ INFO] [1435766579.351110526]: 52 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.33051 , 0.365374 , 0.331354 ,  , elbowR: , 0.175253 , 0.854724 , -0.372761 , 0.315885 , elbowD: , 0.0986454 , -0.327695 , -0.233304 , [0m
[0m[ INFO] [1435766579.384447555]: 53 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.32418 , 0.25404 , 0.397703 ,  , elbowR: , 0.17914 , 0.856368 , -0.369816 , 0.312696 , elbowD: , 0.121342 , -0.332513 , -0.209119 , [0m
[0m[ INFO] [1435766579.417786373]: 54 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.316223 , 0.244357 , 0.384239 ,  , elbowR: , 0.180774 , 0.859171 , -0.367441 , 0.306812 , elbowD: , 0.126117 , -0.336397 , -0.210549 , [0m
[0m[ INFO] [1435766579.451145968]: 55 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.315991 , 0.277304 , 0.395666 ,  , elbowR: , 0.178834 , 0.857649 , -0.369107 , 0.310188 , elbowD: , 0.110803 , -0.334921 , -0.23379 , [0m
[0m[ INFO] [1435766579.484451923]: 56 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.322169 , 0.416201 , 0.314731 ,  , elbowR: , 0.180138 , 0.857094 , -0.370253 , 0.309602 , elbowD: , 0.128721 , -0.335992 , -0.210053 , [0m
[0m[ INFO] [1435766579.517775859]: 57 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.32368 , 0.296414 , 0.408949 ,  , elbowR: , 0.177132 , 0.856732 , -0.369318 , 0.313429 , elbowD: , 0.115887 , -0.336899 , -0.231465 , [0m
[0m[ INFO] [1435766579.551096113]: 58 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.327928 , 0.413821 , 0.326976 ,  , elbowR: , 0.176239 , 0.86012 , -0.368486 , 0.305535 , elbowD: , 0.111034 , -0.337264 , -0.237622 , [0m
[0m[ INFO] [1435766579.584456082]: 59 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.326454 , 0.284471 , 0.415155 ,  , elbowR: , 0.172367 , 0.858325 , -0.370545 , 0.310265 , elbowD: , 0.101673 , -0.334125 , -0.23993 , [0m
[0m[ INFO] [1435766579.617822479]: 60 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.319912 , 0.265472 , 0.391076 ,  , elbowR: , 0.173491 , 0.85654 , -0.370666 , 0.314399 , elbowD: , 0.102506 , -0.3326 , -0.23418 , [0m
[0m[ INFO] [1435766579.651148165]: 61 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.318941 , 0.296493 , 0.395665 ,  , elbowR: , 0.173418 , 0.853936 , -0.371153 , 0.32088 , elbowD: , 0.103856 , -0.330762 , -0.231637 , [0m
[0m[ INFO] [1435766579.684452462]: 62 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.324646 , 0.428405 , 0.316951 ,  , elbowR: , 0.170764 , 0.853859 , -0.370941 , 0.32275 , elbowD: , 0.10541 , -0.32889 , -0.233392 , [0m
[0m[ INFO] [1435766579.717816784]: 63 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.32422 , 0.510253 , 0.227391 ,  , elbowR: , 0.176422 , 0.857476 , -0.367414 , 0.314033 , elbowD: , 0.123995 , -0.335087 , -0.216672 , [0m
[0m[ INFO] [1435766579.751158489]: 64 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.320121 , 0.579436 , 0.155619 ,  , elbowR: , 0.183436 , 0.859926 , -0.365469 , 0.305467 , elbowD: , 0.124316 , -0.341537 , -0.220026 , [0m
[0m[ INFO] [1435766579.784448233]: 65 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.314366 , 0.631158 , 0.0871997 ,  , elbowR: , 0.187055 , 0.861221 , -0.365039 , 0.300092 , elbowD: , 0.124539 , -0.345841 , -0.221205 , [0m
[0m[ INFO] [1435766579.817778061]: 66 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.324262 , 0.32359 , 0.40534 ,  , elbowR: , 0.191805 , 0.860756 , -0.364225 , 0.299415 , elbowD: , 0.123505 , -0.348866 , -0.221931 , [0m
[0m[ INFO] [1435766579.851121314]: 67 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.325759 , 0.445378 , 0.319368 ,  , elbowR: , 0.197387 , 0.861138 , -0.362881 , 0.296305 , elbowD: , 0.123398 , -0.35182 , -0.222211 , [0m
[0m[ INFO] [1435766579.884428955]: 68 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.338666 , 0.328293 , 0.401038 ,  , elbowR: , 0.187575 , 0.858885 , -0.36752 , 0.303415 , elbowD: , 0.0964773 , -0.345771 , -0.248166 , [0m
[0m[ INFO] [1435766579.917862931]: 69 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.346392 , 0.318852 , 0.408687 ,  , elbowR: , 0.188854 , 0.856372 , -0.369218 , 0.307636 , elbowD: , 0.114317 , -0.34325 , -0.217399 , [0m
[0m[ INFO] [1435766579.951126756]: 70 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.347452 , 0.313357 , 0.406814 ,  , elbowR: , 0.183637 , 0.854231 , -0.373497 , 0.311555 , elbowD: , 0.0911843 , -0.339018 , -0.241234 , [0m
[0m[ INFO] [1435766579.984414614]: 71 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.342946 , 0.427773 , 0.323742 ,  , elbowR: , 0.182926 , 0.85694 , -0.373327 , 0.304663 , elbowD: , 0.113446 , -0.339326 , -0.21749 , [0m
[0m[ INFO] [1435766580.017803416]: 72 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.340571 , 0.504607 , 0.24538 ,  , elbowR: , 0.183207 , 0.85848 , -0.37228 , 0.301421 , elbowD: , 0.113901 , -0.340348 , -0.2198 , [0m
[0m[ INFO] [1435766580.051128173]: 73 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.332591 , 0.560206 , 0.165302 ,  , elbowR: , 0.180942 , 0.861209 , -0.369157 , 0.298835 , elbowD: , 0.119317 , -0.340696 , -0.219948 , [0m
[0m[ INFO] [1435766580.084415540]: 74 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.328927 , 0.593117 , 0.099518 ,  , elbowR: , 0.182371 , 0.860667 , -0.37015 , 0.298299 , elbowD: , 0.118427 , -0.340928 , -0.217959 , [0m
[0m[ INFO] [1435766580.117787673]: 75 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.322408 , 0.608897 , 0.0407905 ,  , elbowR: , 0.182144 , 0.861103 , -0.36879 , 0.298863 , elbowD: , 0.117111 , -0.341079 , -0.219931 , [0m
[0m[ INFO] [1435766580.151167799]: 76 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.310484 , 0.630707 , -0.0196571 ,  , elbowR: , 0.184539 , 0.860715 , -0.369112 , 0.298114 , elbowD: , 0.115432 , -0.342648 , -0.218678 , [0m
[0m[ INFO] [1435766580.184415158]: 77 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.350119 , 0.242663 , 0.416533 ,  , elbowR: , 0.18556 , 0.859778 , -0.368672 , 0.300715 , elbowD: , 0.114121 , -0.343628 , -0.218626 , [0m
[0m[ INFO] [1435766580.217688418]: 78 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.339975 , 0.236817 , 0.414984 ,  , elbowR: , 0.183848 , 0.862109 , -0.36678 , 0.29739 , elbowD: , 0.116161 , -0.342661 , -0.219752 , [0m
[0m[ INFO] [1435766580.251152562]: 79 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.337996 , 0.356558 , 0.328487 ,  , elbowR: , 0.182094 , 0.86275 , -0.366198 , 0.297327 , elbowD: , 0.117871 , -0.342087 , -0.219036 , [0m
[0m[ INFO] [1435766580.284452577]: 80 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.337996 , 0.356558 , 0.328487 ,  , elbowR: , 0.182094 , 0.86275 , -0.366198 , 0.297327 , elbowD: , 0.117871 , -0.342087 , -0.219036 , [0m
[0m[ INFO] [1435766580.317782939]: 81 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.32957 , 0.372666 , 0.318747 ,  , elbowR: , 0.181637 , 0.86318 , -0.365483 , 0.297237 , elbowD: , 0.118017 , -0.341779 , -0.218367 , [0m
[0m[ INFO] [1435766580.351106572]: 82 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.327261 , 0.242662 , 0.413809 ,  , elbowR: , 0.184358 , 0.862715 , -0.363907 , 0.298844 , elbowD: , 0.118893 , -0.343876 , -0.218605 , [0m
[0m[ INFO] [1435766580.384397657]: 83 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.330545 , 0.353208 , 0.334771 ,  , elbowR: , 0.187162 , 0.867154 , -0.360462 , 0.288238 , elbowD: , 0.121483 , -0.347363 , -0.222976 , [0m
