[0m[ INFO] [1435600676.239869992]: 59 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.172018 , -0.100162 , -0.174248 ,  , elbowR: , 0.0157838 , -0.522889 , 0.851328 , -0.0397294 , elbowD: , 0.0300673 , -0.387498 , -0.278228 , [0m
[0m[ INFO] [1435600676.273308085]: 60 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.188549 , -0.117489 , -0.171958 ,  , elbowR: , 0.0382326 , -0.512176 , 0.856764 , -0.0465722 , elbowD: , 0.0300286 , -0.396419 , -0.264603 , [0m
[0m[ INFO] [1435600676.306597821]: 61 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.202021 , -0.0101436 , -0.0298064 ,  , elbowR: , 0.0551934 , -0.521425 , 0.850305 , -0.0452956 , elbowD: , 0.0246434 , -0.396236 , -0.26911 , [0m
[0m[ INFO] [1435600676.339970045]: 62 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.211795 , 0.0704861 , 0.114873 ,  , elbowR: , 0.0710725 , -0.518921 , 0.850756 , -0.0434049 , elbowD: , 0.025478 , -0.401957 , -0.26127 , [0m
[0m[ INFO] [1435600676.373270615]: 63 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.241336 , 0.0103921 , 0.0553004 ,  , elbowR: , 0.0868857 , -0.519858 , 0.848908 , -0.0394148 , elbowD: , 0.0226054 , -0.403371 , -0.259575 , [0m
[0m[ INFO] [1435600676.406564997]: 64 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.257199 , -0.0103023 , 0.0127445 ,  , elbowR: , 0.0986559 , -0.526547 , 0.843392 , -0.0412935 , elbowD: , 0.0210022 , -0.401926 , -0.262954 , [0m
[0m[ INFO] [1435600676.439979003]: 65 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.263863 , -0.016291 , -0.00742097 ,  , elbowR: , 0.104988 , -0.529756 , 0.840543 , -0.042714 , elbowD: , 0.0212183 , -0.402797 , -0.260745 , [0m
[0m[ INFO] [1435600676.473277442]: 66 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.265421 , -0.0195964 , -0.0142232 ,  , elbowR: , 0.11132 , -0.533479 , 0.837294 , -0.0441113 , elbowD: , 0.0227747 , -0.401416 , -0.257758 , [0m
[0m[ INFO] [1435600676.506567864]: 67 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.265421 , -0.0195964 , -0.0142232 ,  , elbowR: , 0.11132 , -0.533479 , 0.837294 , -0.0441113 , elbowD: , 0.0227747 , -0.401416 , -0.257758 , [0m
[0m[ INFO] [1435600676.539962200]: 68 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.261266 , -0.0226756 , -0.0212891 ,  , elbowR: , 0.120271 , -0.540544 , 0.832 , -0.0335136 , elbowD: , 0.0228321 , -0.400135 , -0.259184 , [0m
[0m[ INFO] [1435600676.573269719]: 69 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.261266 , -0.0226756 , -0.0212891 ,  , elbowR: , 0.120273 , -0.540551 , 0.831995 , -0.0335089 , elbowD: , 0.022828 , -0.400134 , -0.259189 , [0m
[0m[ INFO] [1435600676.606603439]: 70 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.259676 , -0.0251155 , -0.0220932 ,  , elbowR: , 0.124614 , -0.555399 , 0.821771 , -0.026375 , elbowD: , 0.0125733 , -0.394315 , -0.272862 , [0m
[0m[ INFO] [1435600676.639892416]: 71 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.25654 , -0.0268412 , -0.0145606 ,  , elbowR: , 0.120483 , -0.563297 , 0.816994 , -0.0264594 , elbowD: , 0.0126763 , -0.391248 , -0.279528 , [0m
[0m[ INFO] [1435600676.673229027]: 72 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.252407 , -0.0259078 , -0.00981658 ,  , elbowR: , 0.118717 , -0.565613 , 0.815538 , -0.0297612 , elbowD: , 0.0157676 , -0.392225 , -0.275552 , [0m
[0m[ INFO] [1435600676.706542411]: 73 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.250116 , -0.0263475 , -0.00875055 ,  , elbowR: , 0.120028 , -0.573637 , 0.809568 , -0.0336646 , elbowD: , 0.0158272 , -0.388855 , -0.279897 , [0m
[0m[ INFO] [1435600676.739931664]: 74 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.248035 , -0.0257945 , -0.00893198 ,  , elbowR: , 0.123267 , -0.570389 , 0.811311 , -0.0351599 , elbowD: , 0.018424 , -0.391065 , -0.276842 , [0m
[0m[ INFO] [1435600676.773215544]: 75 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.244903 , -0.0255776 , -0.00469316 ,  , elbowR: , 0.130158 , -0.563892 , 0.814719 , -0.0362899 , elbowD: , 0.0298699 , -0.397119 , -0.267402 , [0m
[0m[ INFO] [1435600676.806604020]: 76 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.245331 , -0.0256376 , -0.00197808 ,  , elbowR: , 0.13166 , -0.563608 , 0.814355 , -0.0428647 , elbowD: , 0.0340401 , -0.396552 , -0.267863 , [0m
