[0m[ INFO] [1435600836.320892923]: 58 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.184046 , 0.0361879 , -0.431676 ,  , elbowR: , -0.115749 , -0.579308 , 0.79825 , -0.11748 , elbowD: , 0.0243215 , -0.415094 , -0.331988 , [0m
[0m[ INFO] [1435600836.354181463]: 59 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.1768 , 0.0273292 , -0.43095 ,  , elbowR: , -0.124655 , -0.573586 , 0.801627 , -0.113376 , elbowD: , 0.0205448 , -0.414965 , -0.326066 , [0m
[0m[ INFO] [1435600836.387584391]: 60 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.1701 , 0.00613038 , -0.427932 ,  , elbowR: , -0.124051 , -0.571052 , 0.804784 , -0.10409 , elbowD: , 0.0132808 , -0.410213 , -0.327366 , [0m
[0m[ INFO] [1435600836.420833763]: 61 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.171332 , -0.00335471 , -0.429028 ,  , elbowR: , -0.117388 , -0.571401 , 0.806672 , -0.0948758 , elbowD: , 0.00928653 , -0.410977 , -0.326814 , [0m
[0m[ INFO] [1435600836.454190602]: 62 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.173923 , -0.0188102 , -0.407202 ,  , elbowR: , -0.11261 , -0.569986 , 0.809145 , -0.0878594 , elbowD: , 0.00238893 , -0.41276 , -0.323669 , [0m
[0m[ INFO] [1435600836.487518317]: 63 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.177801 , -0.0273817 , -0.396182 ,  , elbowR: , -0.10308 , -0.568933 , 0.812409 , -0.0753713 , elbowD: , -0.00282696 , -0.41246 , -0.31859 , [0m
[0m[ INFO] [1435600836.520875222]: 64 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.176224 , -0.0410937 , -0.379571 ,  , elbowR: , -0.0849763 , -0.567087 , 0.815967 , -0.073419 , elbowD: , -0.00192008 , -0.408289 , -0.3148 , [0m
[0m[ INFO] [1435600836.554162952]: 65 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.181651 , -0.0979615 , -0.336546 ,  , elbowR: , -0.0640955 , -0.572917 , 0.814341 , -0.0671347 , elbowD: , -0.0135312 , -0.409018 , -0.318053 , [0m
[0m[ INFO] [1435600836.587478872]: 66 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.186486 , -0.134643 , -0.299012 ,  , elbowR: , -0.0479222 , -0.576417 , 0.813313 , -0.0629944 , elbowD: , -0.0226679 , -0.407898 , -0.319548 , [0m
[0m[ INFO] [1435600836.620847345]: 67 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.185911 , -0.151991 , -0.241188 ,  , elbowR: , -0.0409533 , -0.578545 , 0.811787 , -0.0678978 , elbowD: , -0.0293398 , -0.406133 , -0.317237 , [0m
[0m[ INFO] [1435600836.654209063]: 68 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.186363 , -0.161521 , -0.182881 ,  , elbowR: , -0.0295793 , -0.581035 , 0.811031 , -0.0612568 , elbowD: , -0.0291538 , -0.406932 , -0.318087 , [0m
[0m[ INFO] [1435600836.687506462]: 69 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.194318 , -0.165842 , -0.128846 ,  , elbowR: , -0.0172517 , -0.587498 , 0.806815 , -0.0599886 , elbowD: , -0.0219233 , -0.408194 , -0.320061 , [0m
[0m[ INFO] [1435600836.720877315]: 70 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.204067 , -0.16265 , -0.0888456 ,  , elbowR: , -0.0107746 , -0.593647 , 0.802949 , -0.0523569 , elbowD: , -0.0193335 , -0.412014 , -0.321165 , [0m
[0m[ INFO] [1435600836.754196979]: 71 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.227642 , -0.156001 , -0.0514376 ,  , elbowR: , -0.00522552 , -0.597308 , 0.800196 , -0.0536764 , elbowD: , -0.00348965 , -0.417037 , -0.319689 , [0m
[0m[ INFO] [1435600836.787503249]: 72 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.241619 , -0.150593 , -0.0278959 ,  , elbowR: , 0.00572672 , -0.601565 , 0.79661 , -0.059153 , elbowD: , 0.00632602 , -0.419637 , -0.322849 , [0m
[0m[ INFO] [1435600836.820841105]: 73 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.227149 , -0.0972076 , -0.0426089 ,  , elbowR: , 0.018839 , -0.60192 , 0.796372 , -0.0559392 , elbowD: , 0.00691861 , -0.418103 , -0.328413 , [0m
[0m[ INFO] [1435600836.854227299]: 74 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.210362 , -0.0706099 , -0.0513053 ,  , elbowR: , 0.0245592 , -0.600075 , 0.797627 , -0.055664 , elbowD: , 0.0107712 , -0.420717 , -0.326579 , [0m
[0m[ INFO] [1435600836.887504966]: 75 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.298587 , -0.09036 , 0.0483446 ,  , elbowR: , 0.0329792 , -0.600895 , 0.795729 , -0.068206 , elbowD: , 0.0235589 , -0.421459 , -0.325824 , [0m
[0m[ INFO] [1435600836.920860105]: 76 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.303041 , -0.047186 , 0.0658063 ,  , elbowR: , 0.0498892 , -0.607494 , 0.790428 , -0.0607016 , elbowD: , 0.0313897 , -0.420554 , -0.333171 , [0m
[0m[ INFO] [1435600836.954213430]: 77 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.299545 , -0.0295052 , 0.0618445 ,  , elbowR: , 0.0665339 , -0.606439 , 0.790491 , -0.0541239 , elbowD: , 0.0438099 , -0.419487 , -0.333851 , [0m
[0m[ INFO] [1435600836.987533734]: 78 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.31179 , -0.031204 , 0.03668 ,  , elbowR: , 0.073177 , -0.604557 , 0.791544 , -0.0511287 , elbowD: , 0.0531539 , -0.416598 , -0.333719 , [0m
[0m[ INFO] [1435600837.020799984]: 79 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.314023 , -0.0177019 , 0.0339618 ,  , elbowR: , 0.0773977 , -0.604603 , 0.791148 , -0.0504888 , elbowD: , 0.0561191 , -0.415745 , -0.334732 , [0m
[0m[ INFO] [1435600837.054174175]: 80 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.30991 , -0.0032222 , 0.0349133 ,  , elbowR: , 0.0710668 , -0.603326 , 0.792004 , -0.0606313 , elbowD: , 0.0557527 , -0.415091 , -0.333121 , [0m
[0m[ INFO] [1435600837.087502826]: 81 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.310916 , -0.00475787 , 0.0312432 ,  , elbowR: , 0.0479549 , -0.602513 , 0.792744 , -0.0789613 , elbowD: , 0.0470763 , -0.416743 , -0.328816 , [0m
[0m[ INFO] [1435600837.120871041]: 82 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.293243 , -0.00237371 , 0.0166652 ,  , elbowR: , 0.0243582 , -0.604761 , 0.792942 , -0.0700911 , elbowD: , 0.0272891 , -0.415502 , -0.334992 , [0m
[0m[ INFO] [1435600837.154221972]: 83 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.287763 , 0.00637684 , 0.00973767 ,  , elbowR: , -0.0111017 , -0.601979 , 0.795808 , -0.0647189 , elbowD: , 0.015732 , -0.414137 , -0.335549 , [0m
[0m[ INFO] [1435600837.187552533]: 84 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.297553 , 0.0144987 , 0.00767583 ,  , elbowR: , -0.0516211 , -0.600245 , 0.795595 , -0.0638004 , elbowD: , 0.00297011 , -0.407378 , -0.338521 , [0m
[0m[ INFO] [1435600837.220763523]: 85 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.305337 , 0.0209455 , 0.00937528 ,  , elbowR: , -0.0889692 , -0.595395 , 0.795731 , -0.0663423 , elbowD: , 0.000242524 , -0.403344 , -0.336604 , [0m
[0m[ INFO] [1435600837.254173340]: 86 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.288324 , 0.0385107 , 0.0997204 ,  , elbowR: , -0.109837 , -0.590881 , 0.796558 , -0.0655001 , elbowD: , -0.00649652 , -0.402031 , -0.331545 , [0m
[0m[ INFO] [1435600837.287500365]: 87 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.270719 , 0.0491505 , 0.142822 ,  , elbowR: , -0.116527 , -0.58798 , 0.797844 , -0.0643893 , elbowD: , -0.0189814 , -0.400818 , -0.328736 , [0m
[0m[ INFO] [1435600837.320911083]: 88 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.268428 , 0.0517281 , 0.164037 ,  , elbowR: , -0.111837 , -0.589657 , 0.797751 , -0.0582178 , elbowD: , -0.0240763 , -0.401556 , -0.329929 , [0m
[0m[ INFO] [1435600837.354149464]: 89 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.256631 , 0.0530824 , 0.177319 ,  , elbowR: , -0.0972229 , -0.590536 , 0.799434 , -0.0521596 , elbowD: , -0.0311364 , -0.401641 , -0.327502 , [0m
[0m[ INFO] [1435600837.387517021]: 90 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.258939 , 0.0535098 , 0.17981 ,  , elbowR: , -0.0810071 , -0.593687 , 0.799524 , -0.0416473 , elbowD: , -0.0357103 , -0.402356 , -0.3245 , [0m
[0m[ INFO] [1435600837.420830365]: 91 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.2627 , 0.0577611 , 0.191416 ,  , elbowR: , -0.0638719 , -0.593049 , 0.801578 , -0.0410601 , elbowD: , -0.0421398 , -0.402665 , -0.315753 , [0m
[0m[ INFO] [1435600837.454166071]: 92 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.264058 , 0.0561648 , 0.19361 ,  , elbowR: , -0.0408857 , -0.597074 , 0.800511 , -0.0318414 , elbowD: , -0.0484071 , -0.403829 , -0.314664 , [0m
[0m[ INFO] [1435600837.487505712]: 93 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.27399 , 0.0592747 , 0.191358 ,  , elbowR: , -0.0296847 , -0.599681 , 0.799211 , -0.0276166 , elbowD: , -0.0397351 , -0.405457 , -0.310952 , [0m
[0m[ INFO] [1435600837.520859747]: 94 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.270191 , 0.0661439 , 0.198703 ,  , elbowR: , -0.023185 , -0.597654 , 0.800987 , -0.0263073 , elbowD: , -0.0405851 , -0.404602 , -0.302692 , [0m
[0m[ INFO] [1435600837.554124888]: 95 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.269087 , 0.0590439 , 0.187688 ,  , elbowR: , -0.017232 , -0.597621 , 0.801374 , -0.0187403 , elbowD: , -0.0329639 , -0.405966 , -0.298962 , [0m
