[0m[ INFO] [1435600752.447786119]: 62 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.167004 , -0.146403 , -0.111167 ,  , elbowR: , -0.0332094 , -0.491731 , 0.869655 , -0.0282607 , elbowD: , -0.0767141 , -0.375468 , -0.364121 , [0m
[0m[ INFO] [1435600752.481164211]: 63 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.170995 , -0.148295 , -0.0954634 ,  , elbowR: , -0.0249365 , -0.493541 , 0.868802 , -0.0312887 , elbowD: , -0.0513586 , -0.376379 , -0.363869 , [0m
[0m[ INFO] [1435600752.514363296]: 64 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.178214 , -0.136178 , -0.0722573 ,  , elbowR: , -0.0197819 , -0.494291 , 0.868523 , -0.0308647 , elbowD: , -0.0474678 , -0.377929 , -0.361028 , [0m
[0m[ INFO] [1435600752.547738362]: 65 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.202293 , -0.0874959 , -0.0495707 ,  , elbowR: , -0.0136026 , -0.495386 , 0.868364 , -0.0187476 , elbowD: , -0.050065 , -0.384026 , -0.356376 , [0m
[0m[ INFO] [1435600752.581116334]: 66 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.224664 , -0.0453929 , -0.0178419 ,  , elbowR: , -0.0119343 , -0.498443 , 0.866686 , -0.0163487 , elbowD: , -0.0339225 , -0.38689 , -0.355605 , [0m
[0m[ INFO] [1435600752.614433035]: 67 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.228523 , -0.0239492 , 0.00328231 ,  , elbowR: , -0.0164523 , -0.494643 , 0.868917 , -0.00638738 , elbowD: , -0.0165609 , -0.383443 , -0.35461 , [0m
[0m[ INFO] [1435600752.647700009]: 68 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.234222 , -0.0141272 , 0.00928985 ,  , elbowR: , -0.0166513 , -0.493325 , 0.86968 , 0.00325861 , elbowD: , -0.00520983 , -0.383156 , -0.350775 , [0m
[0m[ INFO] [1435600752.681034338]: 69 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.237059 , -0.00546384 , 0.0103201 ,  , elbowR: , -0.0172583 , -0.588687 , 0.808162 , 0.00486351 , elbowD: , 0.00143637 , -0.384188 , -0.34294 , [0m
[0m[ INFO] [1435600752.714382716]: 70 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.234481 , 0.00357322 , 0.0127701 ,  , elbowR: , -0.0243385 , -0.585173 , 0.810529 , 0.00483428 , elbowD: , 0.00573238 , -0.386086 , -0.339485 , [0m
[0m[ INFO] [1435600752.747747128]: 71 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.240771 , 0.00918879 , 0.0144217 ,  , elbowR: , -0.0265658 , -0.596449 , 0.80211 , 0.012755 , elbowD: , 0.00581815 , -0.389534 , -0.337736 , [0m
