ID,X,Y,Z,x,y,z,w,X,Y,Z,x,y,z,w,X,Y,Z,x,y,z,w,Class
47,0.220802,0.800916,0.867739,0.0899186,0.0389303,-0.00170698,0.995186,0.102775,0.12876,0.702585,0.83364,0.0669925,-0.0490369,0.546033,0.215437,0.358421,0.761517,0.143398,0.0385369,-0.00108497,0.988914,1
48,0.208114,0.809382,0.908068,0.0932962,0.033496,-0.0126518,0.994994,0.0737535,0.142216,0.734699,0.848113,0.0797072,-0.0219942,0.523323,0.192078,0.368017,0.799123,0.14616,0.0328052,-0.0147474,0.988607,1
49,-0.0240737,1.58105,-0.163024,-0.117941,-0.255282,0.131965,0.95053,-0.0039342,0.896919,-0.0106513,0.0629268,0.121261,-0.0503856,0.989342,0.0529916,1.14555,-0.0279663,-0.124772,-0.259321,0.10908,0.951465,0
50,0.218788,0.856507,0.86298,0.0741899,0.0632822,-0.0102033,0.995182,0.0854343,0.18023,0.723925,0.835388,0.0567783,-0.0404543,0.545222,0.203295,0.409548,0.770465,0.129022,0.0624218,-0.0109515,0.989615,1
51,0.0158851,1.48431,-0.0865971,-0.11374,0.672565,-0.186958,0.706942,-0.083112,0.887538,0.235099,0.267434,0.317143,0.109544,0.903271,-0.0463759,1.07193,0.0978182,-0.0920879,0.667946,-0.201289,0.710529,0
52,0.50299,1.519,-0.0423923,-0.100496,-0.301103,-0.0670321,0.945909,0.270934,0.85938,-0.00407216,0.00934177,-0.250495,-0.196769,0.947864,0.40919,1.07319,0.0256285,-0.103614,-0.30196,-0.0827354,0.944055,0
53,0.229455,1.14562,0.420589,-0.0458005,0.0162997,-0.0351207,0.9982,0.0817023,0.47243,0.482442,0.682173,0.0798413,-0.0564438,0.724624,0.201065,0.695568,0.460145,-0.0406812,0.016395,-0.0292645,0.998609,1
54,0.191114,0.821942,0.963568,0.184952,-0.0271053,0.0525982,0.980965,0.1553,0.192161,0.686804,0.831786,0.097755,-0.0807175,0.540426,0.239786,0.412614,0.790437,0.212333,-0.024687,0.0483321,0.975689,1
55,0.17315,1.54597,-0.0800695,-0.0228105,-0.0461804,-0.0140539,0.998574,0.0381304,0.865058,-0.0500925,0.12414,0.0367568,-0.0290397,0.991158,0.155714,1.09249,-0.0552435,-0.0330998,-0.0461854,-0.0214628,0.998154,0
56,0.13266,1.11176,0.395907,-0.0895062,0.0432496,-0.0175016,0.994893,0.0103606,0.440018,0.509092,0.706142,0.10418,-0.000428037,0.700364,0.121558,0.664868,0.467989,-0.0694359,0.0432842,-0.013993,0.996549,1
57,0.224364,0.872229,0.862422,0.0737436,0.0480414,-0.00575522,0.996103,0.097926,0.197767,0.721472,0.827771,0.056319,-0.0495367,0.556029,0.213763,0.427255,0.770707,0.127604,0.047616,-0.00776393,0.990651,1
58,0.201928,1.12394,0.419265,-0.0533089,0.047173,-0.0172003,0.997315,0.0782282,0.448006,0.490074,0.701126,0.0467943,-0.0561565,0.709281,0.189793,0.674376,0.461688,-0.0397127,0.0471274,-0.0142712,0.997997,1
59,0.229877,0.87899,0.891533,0.123917,0.0591169,-0.0195681,0.990337,0.0829928,0.223049,0.690839,0.822706,0.0496755,-0.044462,0.564545,0.205064,0.444728,0.758173,0.173084,0.0575237,-0.0180719,0.98306,1
60,0.221373,0.864515,0.840482,0.0801125,0.0618326,-0.0301936,0.994408,0.0570776,0.19723,0.696718,0.833738,0.0318659,-0.0310829,0.550362,0.18607,0.419982,0.74438,0.13416,0.06014,-0.034079,0.988546,1
61,0.222312,1.20712,0.457093,-0.0305991,0.0317438,-0.0393746,0.998251,0.0689738,0.530161,0.499343,0.624405,0.0948932,-0.0394278,0.774312,0.190003,0.752854,0.482115,-0.0221667,0.0316126,-0.033269,0.9987,1
62,0.206653,0.923404,0.403925,-0.0131843,0.0291914,-0.00799868,0.999455,0.0955782,0.237868,0.429092,0.865302,0.115519,-0.0942834,0.478559,0.202479,0.467513,0.416439,-0.0139961,0.0292759,-0.00211989,0.999471,1
63,0.223187,0.766763,0.374469,-0.00965076,0.031696,-0.0394372,0.998673,0.0664529,0.0940567,0.393659,0.934693,0.0741562,-0.0727607,0.339935,0.189196,0.316233,0.383146,-0.00723973,0.0316346,-0.0363968,0.99881,1
64,0.188343,1.13707,0.434373,-0.0340355,0.0277164,-0.00608162,0.999018,0.0794115,0.458194,0.480929,0.69323,0.0295828,-0.0582116,0.717752,0.185921,0.688041,0.462242,-0.0280929,0.0278547,-0.00112279,0.999217,1
65,-0.0253376,1.57492,-0.172742,-0.0698268,-0.397835,0.166971,0.899429,0.0579185,0.889454,-0.0686306,0.0431926,-0.0454648,-0.0789538,0.994904,0.0764886,1.14099,-0.0556725,-0.0747279,-0.401539,0.142937,0.901527,0
66,0.146599,1.56247,-0.0968956,-0.0272946,-0.0440001,-0.0175866,0.998504,0.0101925,0.884083,-0.0645442,0.0677608,-0.423483,-0.0375314,0.902586,0.127656,1.1114,-0.0701348,-0.0334585,-0.0439882,-0.021549,0.998239,0
67,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
68,0.235746,0.836911,1.00468,0.0750679,-0.0285729,0.0277928,0.996381,0.164202,0.157599,0.846171,0.811881,0.115779,-0.0494998,0.570083,0.261212,0.391921,0.912387,0.128349,-0.0265699,0.0229392,0.991108,1
69,0.0777374,1.47122,-0.0173591,-0.109127,0.782186,-0.104019,0.604529,0.138943,0.847208,0.28024,0.234696,0.470341,-0.0239298,0.850368,0.100328,1.03777,0.115613,-0.11163,0.782744,-0.0998768,0.604049,0
70,0.206778,0.923363,0.403271,-0.0467482,0.0173797,-0.014443,0.998651,0.0882356,0.244187,0.466497,0.876153,0.0798836,-0.0814503,0.468338,0.197698,0.471878,0.44349,-0.0417459,0.0176487,-0.00726041,0.998946,1
71,0.200261,1.14511,0.414294,-0.0715048,0.0321005,-0.00514284,0.99691,0.092536,0.468756,0.502581,0.685024,0.0493844,-0.0637105,0.724047,0.198902,0.697218,0.470821,-0.0543788,0.0322709,-0.00202233,0.997997,1
72,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
73,0.0854487,1.58532,-0.0278809,-0.0450975,-0.342948,0.108799,0.931942,0.110238,0.882499,0.0108465,0.0848275,0.0336137,-0.136449,0.986436,0.157791,1.13177,0.0439217,-0.0466395,-0.34439,0.0919088,0.933152,0
74,0.0872676,1.59386,-0.0548729,-0.0186368,-0.123343,0.0576456,0.990513,0.0409601,0.892007,-0.0323136,0.026444,-0.055674,-0.0744756,0.995316,0.128605,1.13218,-0.0245213,-0.0352907,-0.124701,0.0388832,0.990804,0
75,0.181659,1.1279,0.375367,-0.0689504,0.0176359,0.00137996,0.997463,0.0902823,0.457523,0.449258,0.692421,0.109211,-0.0682701,0.709905,0.189705,0.689912,0.424759,-0.0447665,0.0185838,0.0142857,0.998722,1
76,0.0580774,1.60338,-0.0995355,-0.10766,-0.419197,0.0738612,0.898459,0.00844629,0.911742,-0.00787626,-0.00000506,-0.0721275,-0.000644702,0.997395,0.0719859,1.15809,0.0148167,-0.10645,-0.420924,0.0600391,0.898825,0
