REFERENCE FRAME,torso_1
TARGET FRAMES, , , ,left_elbow_1 , , , , , , ,right_elbow_1 , , , , , , ,left_hand_1 , , , , , , ,right_hand_1 , , , , , , ,left_knee_1 , , , , , , ,right_knee_1 , , , , , , ,left_foot_1 , , , , , , ,right_foot_1 , , , ,
 ,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,Quat_x, Quat_Y, Quat_Z, Quat_W, Dist_X, Dist_Y, Dist_Z,
 ,-0.538258,0.725086,-0.23776,-0.357768,-0.0515412,0.0735757,-0.144289,0.0934418,0.315163,-0.615663,0.71617,0.0174929,-0.175933,-0.159009,0.00562714,0.997342,0.069787,-0.0201669,0.0988928,0.362923,-0.0834213,0.00562714,0.997342,0.069787,-0.0201669,-0.246973,0.306547,-0.0208356,0.135392,0.0648215,0.0698185,0.986201,-0.144977,0.643261,0.184329,-0.135052,-0.144251,-0.0453222,0.979234,0.111619,0.659717,0.0653143,0.00175025,0.996559,0.0770867,-0.0304158,0.0315839,0.926376,0.227604,0.00175625,0.99656,0.0770754,-0.0304,-0.0878339,0.961913,-0.147737,
 ,-0.595442,0.747563,-0.145205,-0.255957,-0.0510826,0.107944,-0.111691,0.0871253,0.325327,-0.620641,0.70808,0.0249487,-0.177458,-0.148014,0.0133088,0.997282,0.0708118,0.0154005,0.106423,0.362832,-0.055274,0.0133088,0.997282,0.0708118,0.0154005,-0.225244,0.322035,-0.0554446,0.236707,0.0575891,0.0521911,0.968468,-0.114321,0.596979,0.314771,-0.127616,-0.283958,-0.105696,0.94441,0.19995,0.642945,0.121284,0.0133088,0.997282,0.0708118,0.0154005,0.0442472,0.910328,0.273642,0.0114448,0.996669,0.0806607,-0.00357755,-0.071071,1.09416,-0.146989,
 ,-0.63954,0.751521,-0.0942083,-0.131643,-0.050483,0.133003,-0.0554831,0.182896,0.420546,-0.567617,0.68374,-0.0394673,-0.159912,-0.191964,0.0260853,0.998526,0.0234753,0.041398,0.111904,0.359886,-0.0129043,0.0260853,0.998526,0.0234753,0.041398,-0.22875,0.255128,-0.108299,0.328046,-0.0144045,0.0436313,0.943544,-0.125658,0.515639,0.348263,-0.122808,-0.153106,-0.0589724,0.978774,0.177149,0.635451,-0.00418788,0.0260853,0.998526,0.0234753,0.041398,0.0726082,0.823796,0.25673,0.0254598,0.997261,0.0661771,0.0210239,-0.0232276,1.07208,-0.0811001,
 ,-0.49243,0.740809,-0.272114,-0.366971,-0.0720101,0.0629936,-0.172057,0.170685,0.444719,-0.553658,0.683048,0.0585898,-0.165948,-0.192757,0.0264705,0.997695,0.0451405,0.043196,0.114132,0.378694,-0.110852,0.0264705,0.997695,0.0451405,0.043196,-0.219336,0.34554,-0.154229,0.298028,-0.0101076,0.0362154,0.953816,-0.125124,0.589666,0.353676,-0.0605445,-0.158432,-0.0494217,0.984272,0.171523,0.675616,0.01044,0.0264705,0.997695,0.0451405,0.043196,0.089984,0.81501,0.225213,0.0264705,0.997695,0.0451405,0.043196,-0.0403923,0.935511,-0.00312995,
 ,0.156787,-0.477416,0.53823,0.67661,-0.042076,-0.14734,-0.198323,0.0567335,0.431279,-0.549737,0.713141,0.052849,-0.200206,-0.159303,0.0253685,0.995772,0.0651419,0.059595,0.26672,0.308465,-0.100948,0.0253685,0.995772,0.0651419,0.059595,-0.224211,0.315506,-0.196314,0.180001,0.140589,0.0871707,0.969658,-0.12642,0.410509,0.405584,-0.00836583,-0.16068,-0.0489904,0.985754,0.157963,0.669548,0.0784834,0.0273871,0.996091,0.0603068,0.0584508,0.102123,0.868608,0.122301,0.0272889,0.996076,0.0605422,0.0585066,-0.0356728,0.937837,0.0515469,
 ,-0.0197651,-0.270266,0.586056,0.763612,-0.0484267,-0.208573,-0.146429,0.00312258,0.440817,-0.527382,0.726319,0.0727215,-0.216887,-0.140862,0.0217786,0.995767,0.0756265,0.0474769,0.319629,0.280067,-0.0104706,0.0217786,0.995767,0.0756265,0.0474769,-0.24131,0.30183,-0.23434,-0.0367263,0.135769,0.0975184,0.985245,-0.150147,0.585553,0.224544,0.0271027,-0.160596,-0.0641868,0.984558,0.162908,0.662149,0.108001,0.0210175,0.996061,0.0691899,0.0513182,0.0832875,1.03512,-0.129241,0.0210212,0.99606,0.0692209,0.0512997,-0.0282133,0.930211,0.104643,
 ,-0.00257593,-0.260586,0.597931,0.758002,-0.0558863,-0.202665,-0.15283,0.0253,0.445684,-0.526946,0.723224,0.0626208,-0.213275,-0.14775,0.0181903,0.99576,0.08125,0.0391071,0.310796,0.3061,0.0027162,0.0181903,0.99576,0.08125,0.0391071,-0.245902,0.299359,-0.21735,-0.244969,0.135422,0.122324,0.952202,-0.210683,0.625609,-0.0305856,0.0528667,-0.160713,-0.0632043,0.983556,0.156695,0.659276,0.129241,0.0181903,0.99576,0.08125,0.0391071,0.0771338,1.03483,-0.293206,0.0181903,0.99576,0.08125,0.0391071,-0.0254596,0.952347,0.161084,
 ,-0.00720674,-0.264563,0.604218,0.751582,-0.0408632,-0.199843,-0.143943,-0.0262169,0.420721,-0.544893,0.724843,0.0619947,-0.215463,-0.134664,0.00999929,0.996071,0.0822231,0.0313469,0.291299,0.303347,-0.00848928,0.00999929,0.996071,0.0822231,0.0313469,-0.252678,0.29956,-0.205674,-0.230966,0.128474,0.139284,0.954332,-0.210706,0.622205,0.00236654,0.0686975,-0.159239,-0.0525044,0.983446,0.13585,0.662462,0.12654,0.00999929,0.996071,0.0822231,0.0313469,0.0221791,1.03587,-0.30278,0.0124176,0.995824,0.0830369,0.0358502,-0.022244,1.01994,0.215759,
 ,-0.0289153,-0.218198,0.629912,0.744825,-0.0243195,-0.190715,-0.123256,0.163991,0.449486,-0.524583,0.704189,0.0223046,-0.179809,-0.205688,0.00773271,0.998327,0.0495378,-0.028814,0.25431,0.29274,-0.0326842,0.00773271,0.998327,0.0495378,-0.028814,-0.289793,0.269718,-0.11458,-0.187563,0.123456,0.169816,0.959553,-0.270681,0.61437,-0.0143531,0.168088,-0.157165,-0.0217395,0.97292,0.110559,0.655335,0.174034,0.00773271,0.998327,0.0495378,-0.028814,-0.0506826,1.0477,-0.255121,0.0122137,0.998731,0.0477115,-0.0105036,-0.0213906,1.05692,0.330507,
 ,-0.0107621,-0.263684,0.626754,0.733167,-0.0256086,-0.188905,-0.120116,0.166715,0.354999,-0.56355,0.727044,0.00690346,-0.176976,-0.19697,0.00236662,0.998917,0.0286909,-0.0365565,0.238927,0.299219,-0.0855848,0.00236662,0.998917,0.0286909,-0.0365565,-0.298771,0.256555,-0.0374548,-0.107974,0.131769,0.205472,0.963722,-0.345416,0.593875,0.0357168,0.305959,-0.144751,0.0113436,0.940908,0.0506384,0.588084,0.355901,0.00303949,0.998787,0.0340086,-0.0354689,-0.0752204,1.06555,-0.191148,0.00303582,0.998788,0.0339796,-0.0354749,-0.0588881,0.923617,0.339273,
